"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"        $20,000 to $24,999","45,175","174,506","63,070","83,360","72,002","77,567","87,327","47,329","143,258","48,026"
"        $25,000 to $29,999","41,710","162,413","58,183","72,190","72,037","65,318","84,109","46,574","133,354","45,729"
"        $30,000 to $34,999","39,493","140,846","51,616","66,886","65,659","65,925","78,100","42,717","119,673","41,386"
"        $35,000 to $39,999","40,594","136,015","49,150","64,085","68,129","60,794","75,979","39,812","124,708","39,778"
"        $40,000 to $44,999","40,170","123,259","46,838","58,961","60,371","48,731","72,456","39,119","102,802","36,800"
"        $45,000 to $49,999","33,962","114,834","39,814","55,466","58,891","51,296","64,418","37,230","96,033","34,591"
"        $50,000 to $59,999","66,491","219,108","64,343","100,069","105,583","88,530","113,883","61,898","172,093","60,937"
"        $60,000 to $74,999","86,356","266,459","89,899","126,519","121,807","104,257","139,094","68,126","219,483","80,347"
"        $75,000 to $99,999","98,819","303,554","116,434","148,486","135,749","119,483","147,645","78,737","266,572","101,654"
"        $100,000 to $124,999","64,633","197,327","64,209","101,351","73,165","70,798","82,463","45,250","161,737","71,610"
"        $125,000 to $149,999","41,491","119,303","41,495","63,548","44,948","44,032","48,129","27,095","106,153","46,985"
"        $150,000 to $199,999","35,545","118,674","44,660","65,597","39,972","44,818","43,645","26,197","110,485","54,221"
"        $200,000 or more","43,611","150,941","47,478","72,662","42,531","44,991","48,867","28,378","126,262","67,410"
